00
-81,4705
-85,4710
-92,4715
-102,4720
-108,4726
-117,4732
-135,4738
-154,4744
-161,4749
-159,4755
-149,4760
-131,4766
-116,4772
-102,4777
-88,4783
-74,4788
-62,4793
-62,4799
-72,4804
-78,4809
-80,4814
-78,4819
-79,4825
-83,4830
-84,4835
-92,4840
-112,4846
-135,4851
-150,4857
-159,4862
-160,4869
-148,4875
-132,4880
-121,4886
-110,4891
-94,4896
-93,4902
-99,4908
-105,4913
-114,4919
-136,4924
-155,4930
-166,4936
-170,4941
-178,4947
-183,4953
-175,4959
-165,4964
-154,4970
-136,4976
-125,4981
-116,4987
-98,4993
-85,4998
-84,5003
-85,5008
-73,5013
-63,5018
-58,5023
-53,5028
-41,5035
-20,5040
4,5044
26,5049
51,5053
68,5058
77,5062
83,5067
94,5071
109,5076
116,5082
102,5087
76,5092
64,5097
69,5101
85,5106
102,5111
107,5116
127,5122
155,5127
185,5132
212,5137
235,5142
261,5147
275,5152
282,5157
286,5163
294,5169
300,5174
292,5179
271,5184
247,5189
224,5194
207,5199
187,5204
162,5210
105,5215
31,5220
-40,5225
-152,5230
-250,5236
-383,5242
-522,5248
-628,5254
-672,5259
-691,5265
-690,5271
-671,5276
-647,5282
-620,5287
-592,5294
-576,5300
-565,5305
-533,5311
-497,5316
-476,5322
-447,5327
-415,5334
-392,5340
-374,5345
-363,5351
-357,5356
-360,5362
-371,5368
-472,5373
-596,5380
-541,5385
-492,5391
-444,5396
-412,5402
-366,5408
-332,5413
-291,5420
-270,5425
-261,5431
-248,5437
-244,5442
-238,5448
-235,5453
-238,5459
-243,5466
-244,5471
-246,5477
-244,5482
-235,5488
-223,5493
-208,5499
-196,5506
-193,5511
-235,5517
-250,5522
-256,5528
-256,5534
-251,5539
-246,5545
-236,5551
-229,5557
-226,5562
-221,5568
-212,5574
-204,5579
-197,5585
-192,5591
-183,5597
-172,5603
-162,5608
-153,5614
-146,5619
-139,5625
-135,5632
-133,5637
-131,5643
-127,5648
-121,5654
-118,5659
-116,5665
-115,5671
-113,5677
-108,5683
-102,5688
-96,5693
-95,5699
-94,5704
-93,5709
-93,5714
-92,5720
-91,5725
-91,5730
-91,5735
-92,5740
-89,5745
-86,5750
-86,5755
-87,5761
-90,5767
-91,5772
-92,5777
-93,5782
-92,5787
-90,5792
-87,5797
-83,5803
-86,5808
-81,5813
-77,5818
-75,5823
-75,5828
-73,5834
-71,5839
-67,5844
-62,5850
-54,5855
-46,5860
-39,5865
-31,5870
-25,5875
-17,5880
-13,5885
-8,5891
-4,5896
-3,5900
-3,5905
-2,5909
3,5914
9,5918
15,5922
25,5927
35,5932
48,5937
64,5941
75,5946
88,5951
95,5955
99,5960
99,5964
87,5969
77,5974
69,5979
56,5984
40,5988
29,5993
16,5997
1,6002
-12,6006
-24,6011
-33,6017
-37,6022
-36,6027
-36,6033
-33,6038
-29,6043
-25,6048
-20,6053
-18,6059
-17,6064
-13,6069
-12,6074
-9,6079
-8,6084
-7,6088
-11,6093
-17,6098
-26,6104
-35,6109
-42,6114
-50,6119
-57,6124
-65,6130
-70,6135
-74,6140
-77,6146
-78,6151
-79,6156
-78,6161
-78,6166
-74,6171
-70,6176
-68,6181
-70,6187
-71,6192
-72,6198
-70,6203
-67,6208
-67,6213
-68,6218
-67,6223
-66,6228
-66,6234
-67,6239
-67,6244
-68,6249
-68,6254
-70,6259
-71,6265
-70,6270
-66,6276
-63,6281
-60,6286
-56,6291
-48,6296
-43,6301
-39,6306
-37,6311
-35,6317
-36,6322
-33,6327
-36,6333
-38,6338
-42,6343
-45,6348
-51,6353
-57,6359
-62,6364
-67,6369
-70,6374
-74,6379
-76,6384
-77,6389
-77,6394
-76,6401
-75,6406
-73,6411
-70,6416
-70,6421
-71,6426
-71,6431
-70,6436
-71,6441
-71,6447
-71,6452
-71,6457
-74,6463
-75,6468
-75,6473
-75,6478
-74,6483
-72,6489
-69,6494
-66,6499
-62,6504
-57,6509
-52,6514
-49,6519
-46,6524
-46,6531
-47,6536
-45,6541
-43,6546
-38,6551
-33,6556
-31,6561
-30,6566
-29,6572
-27,6577
-26,6582
-24,6587
-22,6592
-19,6598
-18,6603
-20,6608
-23,6614
-31,6619
-35,6624
-37,6629
-39,6634
-39,6639
-41,6644
-38,6649
-40,6654
-37,6660
-35,6666
-34,6671
-35,6676
-36,6681
-42,6686
-49,6691
-56,6696
-62,6702
-68,6707
-63,6712
-66,6717
-67,6722
-66,6727
-64,6733
-62,6738
-55,6744
-47,6749
-38,6754
-29,6759
-18,6764
-7,6769
-1,6773
3,6778
5,6782
5,6787
4,6791
1,6795
-2,6799
-7,6804
-13,6809
-20,6814
-26,6819
-30,6824
-31,6830
-31,6835
-29,6840
-26,6845
-25,6850
-25,6855
-28,6860
-35,6866
-47,6872
-59,6877
-68,6882
-76,6887
-69,6892
-68,6897
-67,6902
-64,6907
-58,6913
-56,6918
-54,6923
-53,6929
-52,6934
-50,6939
-48,6944
-47,6949
